author_id,author_name,country,institution,conference,year,source_url,source_note
CVPR-2022-A000001,Haowei Zhu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000002,Wenjing Ke,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000003,Dong Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000004,Ji Liu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000005,Lu Tian,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000006,Yi Shan,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000007,Canjie Luo,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Luo_SimAN_Exploring_Self-Supervised_Representation_Learning_of_Scene_Text_via_Similarity-Aware_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000008,Lianwen Jin,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Luo_SimAN_Exploring_Self-Supervised_Representation_Learning_of_Scene_Text_via_Similarity-Aware_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000009,Jingdong Chen,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Luo_SimAN_Exploring_Self-Supervised_Representation_Learning_of_Scene_Text_via_Similarity-Aware_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000010,Ye Du,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000011,Zehua Fu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000012,Qingjie Liu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000013,Yunhong Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000014,Aniruddha Mahapatra,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Mahapatra_Controllable_Animation_of_Fluid_Elements_in_Still_Images_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000015,Kuldeep Kulkarni,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Mahapatra_Controllable_Animation_of_Fluid_Elements_in_Still_Images_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000016,Mingxing Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000017,Li Hu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000018,Zhiwei Xiong,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000019,Bang Zhang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000020,Pan Pan,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000021,Dong Liu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000022,Liulei Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000023,Tianfei Zhou,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000024,Wenguan Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000025,Jianwu Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000026,Yi Yang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000027,Navami Kairanda,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Kairanda_f-SfT_Shape-From-Template_With_a_Physics-Based_Deformation_Model_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000028,Edith Tretschk,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Kairanda_f-SfT_Shape-From-Template_With_a_Physics-Based_Deformation_Model_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000029,Mohamed Elgharib,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Kairanda_f-SfT_Shape-From-Template_With_a_Physics-Based_Deformation_Model_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000030,Christian Theobalt,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Kairanda_f-SfT_Shape-From-Template_With_a_Physics-Based_Deformation_Model_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000031,Vladislav Golyanik,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Kairanda_f-SfT_Shape-From-Template_With_a_Physics-Based_Deformation_Model_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000032,Ruihang Chu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000033,Xiaoqing Ye,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000034,Zhengzhe Liu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000035,Xiao Tan,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000036,Xiaojuan Qi,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000037,Chi-Wing Fu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000038,Jiaya Jia,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Chu_TWIST_Two-Way_Inter-Label_Self-Training_for_Semi-Supervised_3D_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000039,Lan Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Do_Learned_Representations_Respect_Causal_Relationships_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000040,Vishnu Naresh Boddeti,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Do_Learned_Representations_Respect_Causal_Relationships_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000041,Lian Xu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xu_Multi-Class_Token_Transformer_for_Weakly_Supervised_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000042,Wanli Ouyang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xu_Multi-Class_Token_Transformer_for_Weakly_Supervised_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000043,Mohammed Bennamoun,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xu_Multi-Class_Token_Transformer_for_Weakly_Supervised_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000044,Farid Boussaid,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xu_Multi-Class_Token_Transformer_for_Weakly_Supervised_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000045,Dan Xu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xu_Multi-Class_Token_Transformer_for_Weakly_Supervised_Semantic_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000046,Qianqian Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000047,Zhengqi Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000048,David Salesin,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000049,Noah Snavely,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000050,Brian Curless,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000051,Janne Kontkanen,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000052,Zejin Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Blind2Unblind_Self-Supervised_Image_Denoising_With_Visible_Blind_Spots_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000053,Jiazheng Liu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Blind2Unblind_Self-Supervised_Image_Denoising_With_Visible_Blind_Spots_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000054,Guoqing Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Blind2Unblind_Self-Supervised_Image_Denoising_With_Visible_Blind_Spots_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000055,Hua Han,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Blind2Unblind_Self-Supervised_Image_Denoising_With_Visible_Blind_Spots_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000056,Tu Zheng,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000057,Yifei Huang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000058,Yang Liu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000059,Wenjian Tang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000060,Zheng Yang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000061,Deng Cai,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000062,Xiaofei He,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_CLRNet_Cross_Layer_Refinement_Network_for_Lane_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000063,Bowen Cheng,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Cheng_Pointly-Supervised_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000064,Omkar Parkhi,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Cheng_Pointly-Supervised_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000065,Alexander Kirillov,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Cheng_Pointly-Supervised_Instance_Segmentation_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000066,Zhigang Jiang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Jiang_LGT-Net_Indoor_Panoramic_Room_Layout_Estimation_With_Geometry-Aware_Transformer_Network_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000067,Zhongzheng Xiang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Jiang_LGT-Net_Indoor_Panoramic_Room_Layout_Estimation_With_Geometry-Aware_Transformer_Network_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000068,Jinhua Xu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Jiang_LGT-Net_Indoor_Panoramic_Room_Layout_Estimation_With_Geometry-Aware_Transformer_Network_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000069,Ming Zhao,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Jiang_LGT-Net_Indoor_Panoramic_Room_Layout_Estimation_With_Geometry-Aware_Transformer_Network_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000070,Jiahao Xia,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Sparse_Local_Patch_Transformer_for_Robust_Face_Alignment_and_Landmarks_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000071,Weiwei Qu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Sparse_Local_Patch_Transformer_for_Robust_Face_Alignment_and_Landmarks_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000072,Wenjian Huang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Sparse_Local_Patch_Transformer_for_Robust_Face_Alignment_and_Landmarks_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000073,Jianguo Zhang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Sparse_Local_Patch_Transformer_for_Robust_Face_Alignment_and_Landmarks_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000074,Xi Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Sparse_Local_Patch_Transformer_for_Robust_Face_Alignment_and_Landmarks_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000075,Min Xu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Sparse_Local_Patch_Transformer_for_Robust_Face_Alignment_and_Landmarks_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000076,Hong-Xing Yu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Yu_Rotationally_Equivariant_3D_Object_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000077,Jiajun Wu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Yu_Rotationally_Equivariant_3D_Object_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000078,Li Yi,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Yu_Rotationally_Equivariant_3D_Object_Detection_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000079,Gongjie Zhang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Accelerating_DETR_Convergence_via_Semantic-Aligned_Matching_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000080,Zhipeng Luo,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Accelerating_DETR_Convergence_via_Semantic-Aligned_Matching_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000081,Yingchen Yu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Accelerating_DETR_Convergence_via_Semantic-Aligned_Matching_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000082,Kaiwen Cui,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Accelerating_DETR_Convergence_via_Semantic-Aligned_Matching_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000083,Shijian Lu,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Accelerating_DETR_Convergence_via_Semantic-Aligned_Matching_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000084,Zhuofan Xia,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000085,Xuran Pan,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000086,Shiji Song,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000087,Li Erran Li,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000088,Gao Huang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000089,Tak-Wai Hui,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Hui_RM-Depth_Unsupervised_Learning_of_Recurrent_Monocular_Depth_in_Dynamic_Scenes_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000090,Yanan Wang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Cloning_Outfits_From_Real-World_Images_to_3D_Characters_for_Generalizable_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
CVPR-2022-A000091,Xuezhi Liang,UNKNOWN,UNKNOWN,CVPR,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Wang_Cloning_Outfits_From_Real-World_Images_to_3D_Characters_for_Generalizable_CVPR_2022_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
