author_id,author_name,institution,country,conference,year
ICML-2022-A000001,Alhabib Abbas,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000002,Yiannis Andreopoulos,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000003,Momin Abbas,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000004,Quan Xiao,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000005,Lisha Chen,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000006,Pin-Yu Chen,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000007,Tianyi Chen,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000008,Emmanuel Abbe,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000009,Elisabetta Cornacchia,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000010,Jan Hazla,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000011,Christopher Marquis,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000012,Jacob D Abernethy,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000013,Pranjal Awasthi,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000014,Matthäus Kleindessner,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000015,Jamie Morgenstern,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000016,Chris Russell,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000017,Jie Zhang,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000018,Abubakar Abid,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000019,Mert Yuksekgonul,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000020,James Zou,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000021,Arpit Agarwal,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000022,Rohan Ghuge,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000023,Viswanath Nagarajan,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000024,Abhineet Agarwal,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000025,Yan Shuo Tan,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000026,Omer Ronen,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000027,Chandan Singh,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000028,Bin Yu,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000029,Atish Agarwala,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000030,Samuel S Schoenholz,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000031,Henrique Aguiar,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000032,Mauro Santos,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000033,Peter Watkinson,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000034,Tingting Zhu,UNKNOWN,UNKNOWN,ICML,2022
ICML-2022-A000035,Lucas Agussurja,UNKNOWN,UNKNOWN,ICML,2022
